Word,Total Occurrences
מקוון,4
הדיגיטלית,4
לשימוש,4
מתן,4
חמי,4
יצירת,4
לילי,4
אורלנד,4
רון,4
דן,4
בתהליכי,4
אדרת,4
מסדרת,4
מתוקף,4
אמין,4
ואסטרטגיות,4
לבניית,4
מרחבי,4
חלקי,4
פנים,4
בקנדה,4
אונטריו,4
ובין,4
המלמדים,4
דלי,4
יורם,4
הסגר,4
ארנון,4
מעבר,4
ניו,4
כישורים,4
הקבוצה,4
הפנאי,4
שלא,3
אוטונומיה,3
תפיסת,3
ביניים,3
תיכון,3
קשב,3
הראייה,3
והערכת,3
אסופת,3
מתמשך,3
וחברתיים,3
מתמטיקה,3
ובחן,3
תמונה,3
מורכבת,3
ועקרונות,3
הפדגוגי,3
ליצירת,3
הלכה,3
למעשה,3
העומדים,3
דורית,3
נירית,3
הטמעת,3
מדעי,3
תורמת,3
אישית,3
ברזילר,3
טטר,3
דתית,3
זהות,3
רצון,3
המקצוע,3
המדגם,3
שיקולים,3
ערכים,3
יכולת,3
להתנהגות,3
מציעה,3
עדכניים,3
ההכשרה,3
לארבע,3
מתייחסת,3
עבודתם,3
ניבה,3
מיוחד,3
יושם,3
שוורץ,3
במציאות,3
משולבת,3
וניתוח,3
לתכנון,3
מי,3
בארצות,3
קשיים,3
לקויות,3
אריאלה,3
הפורמלית,3
פורמלית,3
מירב,3
טסלר,3
התנהגויות,3
אקלים,3
תמונת,3
התרבותי,3
נראה,3
נחום,3
המשפיעים,3
בגילאי,3
ממלכתי,3
אריאל,3
נעם,3
גולדרט,3
והממלכתי,3
הרשתות,3
המתבגרים,3
עידית,3
ממלכתיים,3
הרגשית,3
דורי,3
בר,3
און,3
ינסקי,3
לוי,3
ורד,3
מותאמות,3
משוב,3
עולה,3
להתאים,3
טיפול,3
באוכלוסייה,3
מנהלים,3
השלומות,3
לקבל,3
החקר,3
מצביעים,3
מפורטות,3
האישית,3
אסף,3
שפותחו,3
העשורים,3
לשוניים,3
דישון,3
גולדברג,3
תפקידו,3
אתגרי,3
סיגל,3
עמרם,3
לענות,3
מהו,3
מנהלי,3
התיאורטית,3
בנטוב,3
בחטיבה,3
וחיצוניים,3
בניבוי,3
פנימיים,3
קרן,3
חמישה,3
התיאורטיות,3
לידה,3
בעבודה,3
ורווחה,3
להטמעת,3
יישומה,3
הייחודי,3
איסוף,3
במגוון,3
להישגים,3
נבדקה,3
הצלחה,3
במקצועות,3
להגדיר,3
אנו,3
אלטמן,3
העתיד,3
האקלים,3
טליה,3
איכותני,3
קובעי,3
בידע,3
התאמה,3
והנגשה,3
בפנינו,3
שעלו,3
ברור,3
חגית,3
משפיעים,3
אקדמי,3
החשיבה,3
הראשיתהמידעון,3
מסכם,3
משקף,3
שעימם,3
להמשיך,3
יחדיו,3
שאיפה,3
המשותף,3
לבעלי,3
הנבדקים,3
לשותפות,3
בינינו,3
קהילות,3
תל,3
אביב,3
העולים,3
בשימוש,3
המרכיבים,3
למטרות,3
הדר,3
לטפח,3
ממקורות,3
שהן,3
זוהר,3
המטרה,3
הגדרת,3
ושימוש,3
וכיצד,3
יחסים,3
מורה,3
מסגרת,3
מעשית,3
גל,3
למדעים,3
באיתור,3
גיא,3
ביצוע,3
אודרי,3
אדי,3
אבי,3
במרחב,3
הנרחב,3
מבנה,3
מקובל,3
המקורי,3
ומנהלים,3
שמוריהם,3
ההשתלמות,3
סוגים,3
ובהיר,3
שעל,3
פרוש,3
תמציתי,3
להרחבה,3
קישורים,3
המופיעים,3
לספרות,3
יעילות,3
הכיתה,3
בהישגים,3
ביטוי,3
להמשך,3
בלונדר,3
חט,3
משחוק,3
רמי,3
למגוון,3
תום,3
גומפל,3
צבירן,3
ושירה,3
להעמיק,3
תפקודי,3
צעירים,3
להתנסות,3
הבניית,3
טכנולוגיות,3
ותהליכי,3
אוסטרליה,3
מתייחס,3
יוצגו,3
למידת,3
בארבע,3
גרמניה,3
מוצגת,3
קציר,3
היהודי,3
יוסף,3
נבחן,3
קבוצתית,3
גרמן,3
העצמית,3
לזהות,3
לנוכח,3
טוני,3
גוטנטג,3
החברתיים,3
בשעת,3
דפנה,3
למפות,3
מדינת,3
מעמיקה,3
הכשרה,3
ממטה,3
במגזר,3
מילים,3
בשפה,3
שפה,3
לשצ,3
לעקרונות,3
מומחי,3
תורגם,3
עשת,3
המפותחות,3
נכתב,3
גרטל,3
אילנה,3
יחסי,3
מוזיקלי,3
עולם,3
המוקדם,3
מבורך,2
אילנית,2
הוכמיץ,2
מבתיהם,2
שהוקמו,2
שהוצעו,2
ביישובים,2
ומסוגלות,2
המעורבות,2
לתלמידי,2
התרומה,2
תמיכת,2
בנבנישתימטרת,2
מבחן,2
ליטמנוביץ,2
רז,2
וליווי,2
פגיעה,2
ומשבר,2
עצמיים,2
במורי,2
יושמה,2
ולהצביע,2
שעשויים,2
מתמשכת,2
מושכל,2
מסוג,2
רעיונות,2
התנאים,2
הייחודית,2
טובין,2
ונוי,2
השיפור,2
בשיטה,2
מקרים,2
מראים,2
מתבצעת,2
היכרות,2
עמיתים,2
היטב,2
המטרות,2
מסקנות,2
מתמקדים,2
ונורית,2
בבחירת,2
נבחנה,2
הבחירה,2
לעזוב,2
הקניית,2
לתפיסת,2
הכרוכים,2
עידו,2
שטייןהסקירה,2
שיטתית,2
יתרונותיהן,2
וחסרונותיהן,2
רחמיאן,2
למיומנויות,2
מבקשת,2
חדשניות,2
מנגנון,2
חדשנות,2
אפקטיבי,2
פינוי,2
שיקום,2
הייחודיים,2
ובאסטרטגיות,2
לשפוך,2
בבניית,2
התכנון,2
בעיצוב,2
מבני,2
במאה,2
נדרש,2
עכשווי,2
עברי,2
מיעוט,2
לציין,2
בחקר,2
בעשור,2
צריך,2
מבנים,2
המתח,2
הרצון,2
תרבותיות,2
נוצר,2
דיאלוג,2
שוויון,2
ילד,2
חייב,2
אמיר,2
התנהגותיים,2
הקריטריונים,2
לקביעת,2
המיוחדים,2
מאיר,2
גלעדי,2
חאלד,2
וסופי,2
וולשדו,2
והגנה,2
וגורמי,2
במרחבים,2
המנבאים,2
והתפקודי,2
עומק,2
מעורב,2
ארגון,2
הבריאות,2
העולמי,2
קהילתית,2
מסוימות,2
תורמות,2
היהודית,2
יפית,2
ערכנו,2
קייזר,2
הלר,2
כנפו,2
וירון,2
ענבר,2
והרווחה,2
מלין,2
קריסטה,2
הוויסות,2
החברתית,2
הפגיעה,2
המוצע,2
המגוונות,2
ניסיון,2
מעמיק,2
החשיפה,2
דתיים,2
שאלונים,2
השאלונים,2
פסיכולוגית,2
ושחיקה,2
משתנים,2
פני,2
סדנה,2
ברווחה,2
תלמידיהם,2
שי,2
אביבית,2
ארווץ,2
זייפרט,2
פוטנציאל,2
להגביר,2
האוטונומיה,2
הלומד,2
העצמי,2
שניתן,2
ללומדים,2
אוסף,2
טכנולוגיים,2
ילדי,2
המפונים,2
שאלת,2
שעמדו,2
הדס,2
יציבות,2
הוביל,2
דיכאון,2
מקיפה,2
המונעים,2
נגישות,2
ערבים,2
אקדמית,2
דור,2
לדון,2
רווחתם,2
המדינה,2
קצר,2
בשיעורי,2
תשפ,2
כללו,2
ראיונות,2
בסיום,2
בהרחבה,2
נדון,2
נציג,2
שעולים,2
הדו,2
וצוותי,2
ייחודיים,2
ציבוריים,2
אלפסי,2
ובחירום,2
מחנכים,2
ובפרט,2
מעבודת,2
מסוים,2
להציע,2
רימאא,2
מואפק,2
קדח,2
כמותני,2
נוגה,2
עבורם,2
סובייקטיבית,2
ונטייה,2
לעזיבת,2
וארגונית,2
חד,2
הגברת,2
עצמי,2
רגש,2
התפרצויות,2
הלימודי,2
מחויבות,2
זיהוי,2
ובחינת,2
יעילותה,2
ספונטני,2
רגשות,2
אדר,2
ניר,2
ממדים,2
חושף,2
אסתר,2
מיד,2
מאפייני,2
מתווכת,2
המסגרת,2
הילד,2
מחוז,2
מטרתה,2
פותחה,2
במקור,2
במורים,2
הוליסטית,2
תלמיד,2
ומדינות,2
נקטו,2
להפחית,2
לשפר,2
וקובעי,2
המדווחת,2
האסטרטגיות,2
לשלוש,2
והמורים,2
בהמשך,2
ובמדינות,2
רגשיות,2
לזיהוי,2
וירג,2
באנגליה,2
כיה,2
אפשריות,2
אזרחית,2
מבקשים,2
יואל,2
וולטרס,2
ערמון,2
עולים,2
בהתמודדות,2
ויצירת,2
ירון,2
ודנה,2
לחץ,2
השתתפותם,2
מנהיגות,2
להתערבויות,2
אורי,2
דניאל,2
אפל,2
מציבות,2
שכיחות,2
לרווחה,2
נדרשה,2
מורכבים,2
הדורשים,2
ומותאמות,2
שכן,2
ממשבר,2
מציאות,2
המסייעים,2
להתוות,2
כיחידים,2
ובעתיד,2
נמצאות,2
במדינת,2
קסנר,2
סלעהמסמך,2
באגף,2
הגיל,2
ואגף,2
אסטרטגיה,2
פעל,2
ינואר,2
יוני,2
המוצגים,2
בעיתות,2
לשמש,2
בפערים,2
הגן,2
ועודד,2
נגה,2
מושפעת,2
לקידומה,2
ולאחריה,2
המתמטיקה,2
מטרה,2
מושכלת,2
בהסתמך,2
ליפקה,2
בפעילותינו,2
התמודדנו,2
ומזמין,2
להנגישו,2
מטיבי,2
כיתתית,2
לשינוי,2
הנהוגות,2
עדיין,2
לימודים,2
צורכי,2
ימינו,2
בסיוע,2
הוגדרו,2
ומיומנויות,2
ללומד,2
מיושמות,2
עליזה,2
עמיר,2
היתרונות,2
והחוזקות,2
ברזלי,2
בטיפוח,2
יכולתם,2
מסדר,2
היסטוריה,2
נוגעת,2
גב,2
מידה,2
באנגלית,2
ההגדרה,2
לשינויים,2
ציון,2
טכניקות,2
נרחיב,2
שנעשו,2
מדריך,2
מעשי,2
וייס,2
כאחד,2
לקחת,2
הניסיון,2
איך,2
מנקודת,2
הקוגניטיבית,2
אפקטיביות,2
ואקדמיים,2
ביקשה,2
תיאורטית,2
יוצרים,2
בעידן,2
פורקוש,2
שנכתב,2
ומעריך,2
בחירום,2
אופרטיביות,2
האלימות,2
גדי,2
ביאליק,2
אורטל,2
לתכנן,2
פיסי,2
עברו,2
המרחבים,2
החל,2
ציבורי,2
פדגוגי,2
עבר,2
בשיח,2
הציבורי,2
אופיר,2
היתר,2
מסתמך,2
מערך,2
ומחוצה,2
ותלמידים,2
סגירת,2
בוצעו,2
שבחנו,2
מטא,2
תחילת,2
התנהגות,2
גרשי,2
מונח,2
להתקיים,2
השותפים,2
סבו,2
בראנץ,2
אריאלמסמך,2
מפנים,2
להקל,2
הקוראים,2
מאיה,2
אלפי,2
בראי,2
במטרה,2
המותאמת,2
יישומי,2
סביבת,2
חדשנית,2
כמותי,2
הכנה,2
אלון,2
היכולת,2
טמונה,2
שאנו,2
המדעים,2
מותאם,2
לדוגמה,2
לומדות,2
למקצועות,2
בחיי,2
נבנו,2
ערוצי,2
ההטרוגנית,2
המסוגלות,2
יפעת,2
סלעמסמך,2
קוראים,2
המתקשים,2
ברכישת,2
הקריאה,2
לאתר,2
השלכותיו,2
הינקות,2
האסטרטגית,2
פינלנד,2
הרשויות,2
בגילי,2
גן,2
בעלות,2
סקר,2
היסודי,2
לעתיד,2
דיווח,2
קווי,2
ארצות,2
נערכו,2
באוסטרליה,2
הדרמה,2
הבריטית,2
מסלולי,2
יפורטו,2
ההיסטוריה,2
דיון,2
משמש,2
הידוע,2
מאידך,2
עשרה,2
סינגפור,2
שימת,2
המאה,2
הכוונה,2
האחת,2
מתקשים,2
הישגיהם,2
תיאורטי,2
בהשפעתה,2
ריקי,2
ולמפות,2
הדיגיטליים,2
עצמאית,2
ובר,2
משפיעות,2
וקשיים,2
טלמסמך,2
וצמצום,2
עשויות,2
לתרום,2
לצמצום,2
התומכים,2
וליידע,2
קונפליקט,2
המעבר,2
בזום,2
הנמצאים,2
מורי,2
ערבית,2
נועה,2
ונוער,2
בטכנולוגיה,2
תרבותיים,2
בפרט,2
למורה,2
הצלחת,2
בשטח,2
ומובילי,2
ליכולת,2
גבע,2
להערכת,2
מורכבות,2
המשמשות,2
חסמים,2
ואקלים,2
אג,2
טכנולוגית,2
וירטואלית,2
קבוצתיות,2
גלעד,2
ייחודית,2
לסקור,2
נבחרים,2
הטכנולוגית,2
המשך,2
ענין,2
השדה,2
סבג,2
המשותפים,2
מקום,2
כללה,2
אלונה,2
רפורמות,2
האדם,2
שסייעו,2
המשתתפים,2
המשאבים,2
איריס,2
תפיסתה,2
הוועדה,2
הקרוב,2
טבח,2
היסודיים,2
סוגי,2
צריכים,2
חומרי,2
הלימודיים,2
לשלושה,2
בדו,2
ההגדרות,2
המסכם,2
לפתיחת,2
בצל,2
יהודה,2
אפשריים,2
לאבחון,2
ברוריה,2
רשויות,2
נבחרות,2
נילי,2
לערכים,2
והתלמידים,2
ליטמנוביץדוח,2
קשת,2
הכרוכות,2
הפיקוח,2
בספרות,2
זיוון,2
נעמי,2
נעמוד,2
אנגליה,2
הכשרת,2
ארי,2
תרגום,2
חמש,2
הגומלין,2
הבין,2
שלפניכם,2
מפגש,2
בראון,2
הדעת,2
שאינו,2
אורנה,2
חסך,2
שיטת,2
ואריאלה,2
טבצ,2
ניק,2
