Word,Page_Number
הרוב,3
המכריע,3
של,3
המחקרים,3
שהוגשו,3
לקול,3
קורא,3
זה,3
התמקדו,3
בחברה,3
היהודית,3
בלבד,3
מסיבה,3
זו,3
אסופה,3
זו,3
מציגה,3
תמונת,3
מצב,3
רק,3
עבור,3
חברה,3
זו,3
לשכת,3
המדענית,3
הראשית,3
פרסמה,3
קול,3
קורא,3
נוסף,3
ייעודי,3
לחברה,3
הערבית,3
וארבעת,3
המחקרים,3
שזכו,3
מבוצעים,3
בימים,3
אלו,3
חשוב,3
לציין,3
שרבים,3
מהמחקרים,3
באסופה,3
זו,3
מצומצמים,3
או,3
קצרי,3
טווח,3
ולא,3
ניתן,3
ללמוד,3
מהם,3
על,3
כלל,3
האוכלוסייה,3
נוסף,3
על,3
כך,3
הפעולות,3
החינוכיות,3
בשטח,3
משתנות,3
כל,3
העת,3
וייתכן,3
שאלו,3
המתוארות,3
במחקרים,3
כבר,3
אינן,3
רלוונטיות,3
למציאות,3
שבה,3
האסופה,3
יוצאת,3
לאור,3
לכן,3
על,3
אף,3
התרומה,3
האפשרית,3
של,3
אסופה,3
זו,3
לשיפור,3
פעולות,3
חינוכיות,3
קונקרטיות,3
תרומתה,3
מוגבלת,3
בשל,3
מגבלות,3
מחקריות,3
אלה,3
כנפיים,3
של,3
תקווה,3
מודל,3
התערבות,3
לצוותים,3
חינוכיים,3
התמודדות,3
באוקטובר,3
קלמן,3
הלוי,3
מ,3
ומסרמן,3
אזולאי,3
ר,3
פסיכולוגיה,3
עברית,3
עם,3
השפעות,3
שגרת,3
חירום,3
מתמשך,3
מרכז,3
פורום,3
חינוך,3
בחירום,3
קווים,3
מנחים,3
ליצירת,3
רציפות,3
בעת,3
חירום,3
מתמשך,3
חזן,3
א,3
בוכניק,3
צ,3
ואבן,3
זהב,3
ע,3
שמואל,3
נאמן,3
למחקר,3
מדיניות,3
לאומית,3
החינוך,4
למשל,4
בפרסומים,4
של,4
שפ,4
י,4
ייחודיותה,4
של,4
אסופה,4
זו,4
היא,4
באישוש,4
אמפירי,4
רב,4
להימצאות,4
של,4
כל,4
באי,4
מערכת,4
החינוך,4
בכל,4
המסגרות,4
החינוכיות,4
ולא,4
רק,4
תלמידים,4
מפונים,4
או,4
מרכזי,4
למידה,4
בשעת,4
חירום,4
במצב,4
חירום,4
מתמשך,4
בחודשים,4
הראשונים,4
של,4
מלחמת,4
חרבות,4
ברזל,4
ראוי,4
לציין,4
בהקשר,4
זה,4
כי,4
חירום,4
מתמשך,4
שאינו,4
זוכה,4
למענים,4
מתאימים,4
עלול,4
להפוך,4
למצב,4
חירום,4
כרוני,4
שני,4
המונחים,4
שאולים,4
מתחום,4
הרפואה,4
בהקשר,4
endemic,4
crisis,4
או,4
למשבר,4
אנדמיchronic,4
emergency,4
למדיניות,4
חירום,4
כרוני,4
הוא,4
מונח,4
המתאר,4
מצב,4
שבו,4
תופעות,4
החירום,4
נמשכות,4
לאורך,4
זמן,4
ומערערות,4
את,4
תחושת,4
היציבות,4
לאורך,4
חודשים,4
ואף,4
שנים,4
בניגוד,4
למשבר,4
חריף,4
אך,4
נקודתי,4
חירום,4
כרוני,4
שוחק,4
את,4
משבר,4
אנדמי,4
הוא,4
היכולות,4
של,4
מוסדות,4
הציבור,4
וכן,4
את,4
החוסן,4
החברתי,4
לאורך,4
זמן,4
ומונע,4
חזרה,4
לשגרה,4
מונח,4
דומה,4
שמציג,4
מצב,4
של,4
חירום,4
כרוני,4
באזורים,4
מסוימים,4
בזמן,4
שאזורים,4
אחרים,4
מצליחים,4
להשתקם,4
במצב,4
זה,4
מאפייני,4
החירום,4
הופכים,4
לקבועים,4
באותם,4
מקומות,4
שלא,4
השתקמו,4
והם,4
מושרשים,4
במערכת,4
כך,4
נוצר,4
מעגל,4
קסמים,4
שקשה,4
מאוד,4
להיחלץ,4
ממנו,4
נדגים,4
את,4
שני,4
המונחים,4
במדינות,4
שבהן,4
צומצם,4
כוח,4
ההוראה,4
המקצועי,4
בשל,4
משברים,4
קיימת,4
נטייה,4
להסתמך,4
במידה,4
רבה,4
על,4
כוח,4
עזר,4
לא,4
מקצועי,4
על,4
אף,4
שפתרון,4
זה,4
מועיל,4
לטווח,4
הקצר,4
כוח,4
העזר,4
אינו,4
יכול,4
לסייע,4
למערכת,4
לחזור,4
להישגיה,4
שלפני,4
המשבר,4
כך,4
פתרונות,4
נקודתיים,4
שנועדו,4
לסייע,4
בטווח,4
הקצר,4
עלולים,4
למנוע,4
יציאה,4
ממשברים,4
בחינוך,4
בטווח,4
הארוך,4
אם,4
המצב,4
המתואר,4
מתרחש,4
במדינה,4
כולה,4
מדובר,4
בחירום,4
כרוני,4
ואם,4
רק,4
בחלקים,4
ממנה,4
למשל,4
באזורי,4
ספר,4
הכוונה,4
למשבר,4
אנדמי,4
השימוש,4
בשני,4
מונחים,4
אלו,4
עשוי,4
לשפוך,4
אור,4
על,4
מצבים,4
מהסוג,4
שמערכת,4
החינוך,4
בישראל,4
עשויה,4
להימצא,4
על,4
סיפם,4
המשבר,4
שיצרה,4
מלחמת,4
חרבות,4
ברזל,4
הוא,4
חוליה,4
נוספת,4
בשרשרת,4
של,4
מצבי,4
חירום,4
ביטחוניים,4
ואחרים,4
כגון,4
משבר,4
הקורונה,4
שנוספו,4
על,4
האתגרים,4
שמערכת,4
החינוך,4
בישראל,4
מתמודדת,4
עימם,4
בעשורים,4
האחרונים,4
עם,4
זאת,4
חומרת,4
הפגיעה,4
של,4
המשבר,4
הנוכחי,4
במערכת,4
החינוך,4
משך,4
הפגיעה,4
בה,4
ומידת,4
ההשפעה,4
המשתנה,4
שלה,4
על,4
אזורים,4
שונים,4
הם,4
ייחודיים,4
כשמביאים,4
בחשבון,4
את,4
ההשפעה,4
הכוללת,4
של,4
המלחמה,4
ואת,4
הגידול,4
ברמות,4
המצוקה,4
במהלכה,4
מובן,4
שההתמודדות,4
של,4
מערכת,4
החינוך,4
מורכבת,4
אף,4
יותר,4
לטענתנו,4
שיקום,4
ממצב,4
חירום,4
מתמשך,4
חשוב,4
שיתבצע,4
גם,4
באמצעים,4
ובשיטות,4
חדשים,4
מקוריים,4
ומותאמים,4
ולפיכך,4
נדרשת,4
חשיבה,4
גמישה,4
על,4
פתרונות,4
עבורו,4
מתן,4
מענה,4
מוכנות,4
לפני,4
התרחשותו,4
התמודדות,4
עם,4
משבר,4
מורכבת,4
בדרך,4
כלל,4
משלושה,4
שלבים,4
אולם,4
במציאות,4
הנוכחית,4
התמודדות,4
עם,4
שיקום,4
ועם,4
חזרה,4
לשגרה,4
ראשוני,4
עד,4
שהגורם,4
למשבר,4
חולף,4
כפי,4
שעולה,4
ברבים,4
מהמחקרים,4
שבאסופה,4
שלבי,4
ההתמודדות,4
אינם,4
מתרחשים,4
בזה,4
אחר,4
זה,4
אלא,4
משתלבים,4
ומתערבבים,4
זה,4
בזה,4
כך,4
נדרשו,4
בתי,4
ספר,4
לשקם,4
תפקוד,4
רגשי,4
ולימודי,4
תוך,4
כדי,4
המשך,4
איום,4
חיצוני,4
מורות,4
ויועצות,4
השתמשו,4
בכלים,4
לתמיכה,4
ולשיקום,4
בתוך,4
שגרת,4
חירום,4
מתמשכת,4
ומדיניות,4
חינוכית,4
פעלה,4
לעיתים,4
מתוך,4
ניסיון,4
להחיל,4
שגרה,4
גם,4
בשעה,4
שטרם,4
הסתיים,4
שלב,4
ההתמודדות,4
הראשונית,4
עם,4
המשבר,4
מכאן,4
אפשר,4
להסיק,4
שהתמודדות,4
בזמן,4
אמת,4
עם,4
חירום,4
מתמשך,4
בדגש,4
על,4
השלב,4
השני,4
המתואר,4
לעיל,4
דורשת,4
הרחבה,4
גמישה,4
ויצירתית,4
של,4
דרכי,4
ההתמודדות,4
ושל,4
המודלים,4
התיאורטיים,4
המסבירים,4
את,4
מצב,4
החירום,4
ומצביעים,4
על,4
שורשיו,4
מחיבור,4
שני,4
מאפיינים,4
אלה,4
של,4
משבר,4
מתמשך,4
השתרשרות,4
עם,4
משברים,4
קודמים,4
ודרגת,4
חומרה,4
שעולה,4
עליהם,4
נראה,4
כי,4
אירועי,4
חירום,4
ובהם,4
אירועי,4
חירום,4
בחינוך,4
עשויים,4
להפוך,4
לרכיב,4
קבוע,4
של,4
המציאות,4
השפעתם,4
השלילית,4
של,4
אירועי,4
חירום,4
אלו,4
על,4
שגרת,4
החיים,4
של,4
תלמידים,4
ושל,4
אנשי,4
חינוך,4
על,4
השלומות,4
שלהם,4
על,4
הישגי,4
התלמידים,4
ועל,4
שימור,4
אנשי,4
חינוך,4
במערכת,4
עלולה,4
להיות,4
ארוכת,4
טווח,4
Akkari,4
A,4
Radhouane,4
M,4
Learning,4
in,4
emergencies,4
contexts,4
From,4
the,4
building,4
of,4
the,4
concept,4
to,4
multifaced,4
actions,4
in,4
the,4
field,4
Prospects,4
Mutch,4
C,4
The,4
role,4
of,4
schools,4
in,4
disaster,4
preparedness,4
response,4
and,4
recovery,4
what,4
can,4
we,4
learn,4
from,4
the,4
literature,4
Pastoral,4
Care,4
in,4
Education,4
אסופת,5
מחקרים,5
זו,5
על,5
מלחמת,5
חרבות,5
ברזל,5
מציגה,5
למערכת,5
החינוך,5
הזדמנות,5
ללמוד,5
באופן,5
מקיף,5
על,5
התנהלותה,5
בעת,5
משבר,5
מתמשך,5
זה,5
המחקרים,5
בה,5
מצביעים,5
על,5
הצרכים,5
המתמשכים,5
והמשתנים,5
של,5
תלמידים,5
ושל,5
צוותי,5
הוראה,5
התמודדות,5
נפשית,5
עם,5
האסון,5
והטראומה,5
ועם,5
מעגלי,5
היפגעות,5
ראשוניים,5
ומשניים,5
רחבים,5
שהובילו,5
לקשיי,5
תפקוד,5
במסגרת,5
מוסד,5
החינוך,5
ובכלל,5
קשיים,5
לוגיסטיים,5
שחוו,5
משפחות,5
וקהילות,5
מפונות,5
נוסף,5
על,5
אתגר,5
הלמידה,5
וההוראה,5
אתגרי,5
למידה,5
במרכזי,5
למידה,5
למפונים,5
כמו,5
תחושת,5
ניתוק,5
מהמסגרת,5
החינוכית,5
הרגילה,5
חוסר,5
יציבות,5
ותנאי,5
למידה,5
לא,5
מיטביים,5
מובן,5
שגם,5
אירועים,5
שהתרחשו,5
מחוץ,5
למוסדות,5
החינוך,5
השפיעו,5
על,5
הנעשה,5
בהם,5
כך,5
למשל,5
בני,5
נוער,5
מכל,5
הארץ,5
נחשפו,5
לסרטונים,5
ולשיח,5
אלים,5
ברשתות,5
ובמקרים,5
רבים,5
לא,5
היו,5
לעובדי,5
ההוראה,5
כלים,5
לתווך,5
חשיפה,5
זו,5
או,5
אפילו,5
לדעת,5
על,5
קיומה,5
לצד,5
שיקוף,5
הצרכים,5
של,5
מערכת,5
החינוך,5
סביב,5
משבר,5
מתמשך,5
זה,5
עלה,5
במחקרים,5
שמוצגים,5
באסופה,5
הצורך,5
לנקוט,5
פעולות,5
מיוחדות,5
כדי,5
לצאת,5
מהמשבר,5
ולצמוח,5
ממנו,5
עיון,5
במחקרים,5
המוצגים,5
כאן,5
וכן,5
אצל,5
ועמיתותיה,5
מעלה,5
כי,5
המפתח,5
לצמיחה,5
ולשגשוג,5
מתוך,5
משבר,5
טמון,5
גם,5
בצורך,5
חוקרים,5
נוספים,5
כגון,5
חזן,5
בשינוי,5
התפיסה,5
המערכתית,5
תוך,5
הדגשת,5
החשיבות,5
של,5
טיפוח,5
החוסן,5
האישי,5
החברתי,5
והמוסדי,5
של,5
עובדי,5
הוראה,5
ושל,5
התלמידים,5
כמו,5
כן,5
עולה,5
שיש,5
לטפח,5
את,5
החוסן,5
גם,5
בזמן,5
שגרה,5
כהכנה,5
לזמן,5
חירום,5
ולא,5
רק,5
במשבר,5
תקוותנו,5
היא,5
שאסופת,5
מחקרים,5
זו,5
על,5
התובנות,5
שניתן,5
לחלץ,5
מהם,5
תתרום,5
את,5
חלקה,5
להצלחתה,5
של,5
מערכת,5
החינוך,5
להשתקם,5
ולשגשג,5
לאחר,5
התקופה,5
המשברית,5
איור,5
יעל,5
שינקר,5
ב,6
התאפיינה,6
מלחמת,6
חרבות,6
ברזל,6
שהחלה,6
בפלישה,6
של,6
חמאס,6
ליישובי,6
עוטף,6
עזה,6
בשבעה,6
באוקטובר,6
בעוצמה,6
חסרת,6
תקדים,6
ובמאפיינים,6
שהבדילו,6
אותה,6
ממערכות,6
קודמות,6
ההערכה,6
היא,6
שבחודש,6
הראשון,6
אלף,6
תושבים,6
אלו,6
פונו,6
מאזור,6
הדרום,6
שהותקף,6
על,6
ידי,6
מחבלי,6
למלחמה,6
פונו,6
או,6
התפנו,6
מבתיהם,6
כ,6
חמאס,6
וכן,6
מאזור,6
גבול,6
הצפון,6
כולל,6
קריית,6
שמונה,6
בשל,6
ההתלקחות,6
בגבול,6
ומחשש,6
להחרפת,6
המצב,6
בזירה,6
אלפים,6
מרכזים,6
ביותר,6
מחמישים,6
רשויות,6
ברחבי,6
הארץ,6
עשרות,6
הצפונית,6
התושבים,6
נקלטו,6
בכמעט,6
ישנם,6
עדיין,6
נותרו,6
מפונים,6
במשך,6
יותר,6
משמונה,6
חודשים,6
וגם,6
נכון,6
לכתיבת,6
שורות,6
אלו,6
סתיו,6
תושבים,6
מהצפון,6
ומהדרום,6
שיישוביהם,6
טרם,6
שוקמו,6
המלחמה,6
יצרה,6
בן,6
רגע,6
מצב,6
חירום,6
בכלל,6
המדינה,6
מערכת,6
החינוך,6
נדרשה,6
לקטוע,6
את,6
הלימודים,6
פנים,6
אל,6
פנים,6
בשעה,6
שילדים,6
ונוער,6
נחשפו,6
לאירוע,6
בעל,6
השלכות,6
מרחיקות,6
לכת,6
על,6
תחושת,6
המוגנות,6
והרווחה,6
הנפשית,6
שלהם,6
הפינוי,6
הנרחב,6
דרש,6
פתרונות,6
חינוך,6
מהירים,6
שבחלקם,6
נדרשו,6
להיות,6
גם,6
פתרונות,6
ארוכי,6
זמניות,6
הביא,6
להקמת,6
מסגרות,6
חינוכיות,6
חלופיות,6
ביישובים,6
חינוך,6
מסגרת,6
טווח,6
משרד,6
החינוך,6
פתח,6
מאות,6
מפונים,6
מאוחר,6
יותר,6
הקים,6
משרד,6
גן,6
וילדי,6
תלמידים,6
אלף,6
כמו,6
אילת,6
חיפה,6
ומלונות,6
ים,6
המלח,6
עבור,6
החינוך,6
מסגרות,6
שנועדו,6
לתת,6
פתרונות,6
חינוך,6
ארוכי,6
טווח,6
באזורים,6
עורפיים,6
הסמוכים,6
ליישובים,6
המפונים,6
המסגרות,6
פעלו,6
בטווחי,6
זמן,6
שונים,6
חלקם,6
במשך,6
שבועות,6
או,6
חודשים,6
ספורים,6
וחלק,6
אחר,6
פעלו,6
עד,6
סוף,6
שנת,6
הלימודים,6
תשפ,6
ד,6
בשלבי,6
הלחימה,6
העצימה,6
הופעלה,6
למידה,6
מרחוק,6
גם,6
באזורים,6
נוספים,6
בארץ,6
תיאור,6
של,6
שירות,6
פסיכולוגי,6
ייעוצי,6
שפ,6
י,6
לפעולות,6
של,6
עובדיו,6
במלחמה,6
מאז,6
שעות,6
הבוקר,6
של,6
השבעה,6
באוקטובר,6
ולאורך,6
כל,6
המלחמה,6
פעל,6
שפ,6
י,6
לספק,6
מענים,6
רגשיים,6
חברתיים,6
ומשפחתיים,6
לכלל,6
הקהילה,6
החינוכית,6
תלמידים,6
צוותי,6
חינוך,6
והורים,6
המענים,6
כללו,6
הדרכה,6
טיפול,6
תמיכה,6
ליווי,6
וסיוע,6
כמו,6
כן,6
פותחו,6
פורסמו,6
ויושמו,6
תדריכים,6
פסיכו,6
חינוכיים,6
חדשים,6
כל,6
אלו,6
התגבשו,6
על,6
סמך,6
הניסיון,6
והידע,6
הקיים,6
בשפ,6
י,6
תוך,6
התייעצויות,6
בזמן,6
אמת,6
עם,6
מומחים,6
מהאקדמיה,6
ובהתבסס,6
על,6
מידע,6
בקשות,6
וצרכים,6
שזרמו,6
מהשטח,6
בגיבוש,6
מערך,6
המענים,6
ההמלצות,6
הכלים,6
והתדריכים,6
פעלו,6
מומחי,6
שפ,6
י,6
על,6
פי,6
שלושה,6
עקרונות,6
התבססות,6
על,6
ידע,6
מקצועי,6
קיים,6
וחיבור,6
למשאבים,6
המוכרים,6
רציפות,6
תפקודית,6
התאמה,6
שוב,6
ושוב,6
לצורכי,6
השטח,6
האקטואליים,6
המורכבים,6
והייחודיים,6
דיוק,6
הפקה,6
יישום,6
והזרמה,6
של,6
המענים,6
לשטח,6
מהר,6
ככל,6
הניתן,6
יעילות,6
ההתאמה,6
לצורכי,6
המלחמה,6
השירות,6
התאים,6
את,6
כלי,6
ההתמודדות,6
ואת,6
מערך,6
החוסן,6
והתמיכה,6
החינוכי,6
לצו,6
השעה,6
תוך,6
מודעות,6
להשלכות,6
המלחמה,6
השפעותיה,6
השינויים,6
התדירים,6
והאילוצים,6
שהיא,6
הטילה,6
המענים,6
כוונו,6
לקהילות,6
מגוונות,6
אלו,6
שפונו,6
מביתן,6
תלמידים,6
שלמדו,6
מרחוק,6
וקהילות,6
חינוכיות,6
שונות,6
בכל,6
קבוצות,6
הגיל,6
תמונת,6
המצב,6
המורכבת,6
חידדה,6
את,6
ההבנה,6
שנדרשות,6
זמינות,6
וגמישות,6
והמענים,6
הותאמו,6
ונכתבו,6
מחדש,6
לאורך,6
זמן,6
על,6
פי,6
הצרכים,6
המתהווים,6
האתגרים,7
שהתמודדו,7
עימם,7
במערכת,7
החינוך,7
בשנת,7
תשפ,7
ד,7
כתוצאה,7
מהמלחמה,7
כללו,7
פערים,7
לימודיים,7
שהתרחבו,7
קשיי,7
הסתגלות,7
חרדות,7
מחסור,7
במורים,7
ובמטפלים,7
פגיעה,7
בתשתיות,7
חינוכיות,7
וצורך,7
בשיפוץ,7
מוסדות,7
חינוך,7
או,7
בהוספת,7
מיגון,7
כחלק,7
מהקמת,7
מנהלת,7
תקומה,7
ביישובי,7
העוטף,7
ו,7
מנהלת,7
תנופה,7
בצפון,7
השקיע,7
משרד,7
החינוך,7
תקציבים,7
ייעודיים,7
לחיזוק,7
החוסן,7
הנפשי,7
של,7
תלמידים,7
באזורים,7
אלו,7
המשרד,7
גם,7
יצר,7
מתווה,7
מיוחד,7
לבחינות,7
הבגרות,7
בצל,7
המלחמה,7
וצמצם,7
את,7
התדירות,7
של,7
אירועי,7
הערכה,7
בכל,7
שכבות,7
הגיל,7
כאמור,7
המלחמה,7
הנוכחית,7
הצטרפה,7
לשורה,7
של,7
מצבי,7
חירום,7
שחוותה,7
מדינת,7
ישראל,7
בעשורים,7
האחרונים,7
אך,7
היא,7
בולטת,7
בעוצמתה,7
במורכבותה,7
ובהשפעותיה,7
רחבות,7
ההיקף,7
וארוכות,7
הטווח,7
ישראל,7
נמצאת,7
רשמית,7
במצב,7
חירום,7
מאז,7
הקמתה,7
והתמודדה,7
עם,7
שורת,7
אירועים,7
חריגים,7
ביניהם,7
מבצע,7
צוק,7
איתן,7
לשני,7
המשברים,7
הראשונים,7
היו,7
ומשבר,7
הקורונה,7
אינתיפאדת,7
הסכינים,7
השפעות,7
על,7
מערכת,7
החינוך,7
בחלק,7
ממחוזות,7
החינוך,7
משבר,7
הקורונה,7
השפיע,7
על,7
כל,7
מערכת,7
החינוך,7
במשך,7
התרחשו,7
שלושה,7
סבבי,7
סגירה,7
למאי,7
יותר,7
משנתיים,7
כזכור,7
במהלך,7
משבר,7
הקורונה,7
בין,7
מרץ,7
של,7
בתי,7
הספר,7
במסגרת,7
סגר,7
כללי,7
בתקופות,7
אלה,7
הופעלו,7
מערכות,7
למידה,7
מרחוק,7
ובכלל,7
זה,7
שיעורים,7
מקוונים,7
שידורים,7
לאומיים,7
והנגשת,7
תשתיות,7
דיגיטליות,7
לתלמידים,7
ולמורים,7
משרד,7
החינוך,7
הכשיר,7
צוותי,7
הוראה,7
ללמידה,7
מרחוק,7
רכש,7
ציוד,7
מחשבים,7
והנגיש,7
תכנים,7
דיגיטליים,7
למרות,7
כל,7
המאמצים,7
שהושקעו,7
לימודיים,7
בין,7
תלמידים,7
מרקעים,7
שונים,7
בעיקר,7
לרעת,7
אוכלוסיות,7
מוחלשות,7
כגון,7
לפערים,7
עדויות,7
קיימות,7
וערבים,7
יתרה,7
מזו,7
קיימות,7
עדויות,7
לכך,7
שהפגיעה,7
בהישגים,7
לימודיים,7
הורגשה,7
שנים,7
תלמידים,7
חרדים,7
פגיעה,7
בממוצע,7
ו,7
לאחר,7
המשבר,7
נמצאה,7
למשל,7
פגיעה,7
בהישגים,7
בארצות,7
הברית,7
בשנים,7
וכן,7
פגיעה,7
בהישגים,7
בישראל,7
במחקר,7
PISA,7
ההישגים,7
של,7
תלמידים,7
במדינות,7
שונות,7
שעלתה,7
במחקר,7
מכאן,7
מובן,7
שהקרע,7
שמשבר,7
ממושך,7
יוצר,7
במרקם,7
החיים,7
ובתוכו,7
גם,7
בחינוך,7
אינו,7
מתאחה,7
טימס,7
בזמן,7
קצר,7
כמו,7
כן,7
במערכות,7
חינוך,7
שונות,7
בעולם,7
ובהן,7
גם,7
בישראל,7
מתבהרת,7
החשיבות,7
של,7
מתן,7
מענה,7
מותאם,7
למשבר,7
מתמשך,7
לא,7
רק,7
בשיאו,7
של,7
המשבר,7
אלא,7
גם,7
לאחריו,7
לצד,7
האירועים,7
שהוזכרו,7
